,County,City,State,Year,Car_Mark,Model,Type_Vehicle,CAFV Eligibility,Electric Range,Base MSRP,Vehicle Location
63,Kitsap,Bremerton,WA,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,"[47.5759584, -122.6961203]"
64,Kitsap,Bremerton,WA,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,"[47.5930874, -122.6231895]"
65,Yakima,Yakima,WA,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,"[46.5654909, -120.5807155]"
66,Snohomish,Bothell,WA,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,"[47.839957, -122.206146]"
67,Snohomish,Bothell,WA,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,"[47.839957, -122.206146]"
68,Thurston,Olympia,WA,2023,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,"[47.0133209, -122.8733203]"
69,Snohomish,Bothell,WA,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,"[47.839957, -122.206146]"
70,Thurston,Lacey,WA,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,"[47.083975, -122.78083]"
71,Thurston,Olympia,WA,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,"[47.0133209, -122.8733203]"
72,Thurston,Olympia,WA,2014,TOYOTA,RAV4,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,103,0,"[47.07503, -122.86491]"
73,King,Seattle,WA,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,"[47.6862671, -122.3008235]"
74,Snohomish,Mukilteo,WA,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,"[47.912654, -122.29943]"
75,King,Seattle,WA,2016,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,"[47.5411053, -122.2753318]"
76,Kitsap,Suquamish,WA,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,"[47.7346457, -122.5591128]"
77,Thurston,Olympia,WA,2022,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,"[47.059252, -122.943445]"
78,Kitsap,Silverdale,WA,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,"[47.660204, -122.7035285]"
79,Thurston,Olympia,WA,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,"[47.083975, -122.78083]"
80,Yakima,Yakima,WA,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,"[46.596645, -120.611068]"
81,Kitsap,Port Orchard,WA,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,"[47.4739066, -122.6530052]"
82,Kitsap,Kingston,WA,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,"[47.7981436, -122.5178351]"
83,Kitsap,Bremerton,WA,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,"[47.5759584, -122.6961203]"
84,Yakima,Yakima,WA,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12,36900,"[46.59534, -120.530331]"
85,Kitsap,Bremerton,WA,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,"[47.5930874, -122.6231895]"
86,King,Seattle,WA,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,"[47.629782, -122.300312]"
87,Yakima,Moxee,WA,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,"[46.550869, -120.3552229]"
88,King,Redmond,WA,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,"[47.6705374, -122.1207376]"
89,King,Kent,WA,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,"[47.3741045, -122.1994204]"
90,Kitsap,Bremerton,WA,2022,MINI,HARDTOP,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,"[47.5759584, -122.6961203]"
91,Kitsap,Port Orchard,WA,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,"[47.4739066, -122.6530052]"
92,Thurston,Lacey,WA,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,"[46.9970624, -122.7654699]"
93,Yakima,Yakima,WA,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,"[46.6046178, -120.4688751]"
94,Walla Walla,Walla Walla,WA,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,"[46.0625736, -118.3377489]"
95,Walla Walla,Walla Walla,WA,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,"[46.0625736, -118.3377489]"
96,King,Vashon,WA,2017,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,"[47.429244, -122.466938]"
97,Kittitas,Cle Elum,WA,2013,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,"[47.1944758, -120.9347811]"
98,Snohomish,Everett,WA,2020,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,"[47.8956271, -122.2032349]"
99,Douglas,East Wenatchee,WA,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,"[47.4167133, -120.2609057]"
